ID,CLASS
210,0.0
211,0.0
212,0.0
213,1.0
214,1.0
215,0.0
216,0.0
217,0.0
218,0.0
219,1.0
220,1.0
221,1.0
222,0.0
223,0.0
224,1.0
225,0.0
226,0.0
227,0.0
228,1.0
229,1.0
230,0.0
231,1.0
232,0.0
233,1.0
234,1.0
235,1.0
236,0.0
237,1.0
238,0.0
239,0.0
240,0.0
241,1.0
242,1.0
243,0.0
244,0.0
245,1.0
246,1.0
247,0.0
248,1.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,1.0
260,0.0
261,0.0
262,0.0
263,0.0
264,1.0
265,1.0
266,0.0
267,1.0
268,0.0
269,0.0
270,1.0
271,0.0
272,0.0
273,1.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,1.0
285,0.0
286,0.0
287,0.0
288,1.0
289,0.0
290,1.0
291,1.0
292,0.0
293,0.0
294,1.0
295,1.0
296,0.0
297,0.0
298,0.0
299,1.0
300,1.0
301,0.0
302,1.0
303,1.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,1.0
312,0.0
313,1.0
